"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","AR465","M48","NRS1","P10","R50","V521"
"group_103","","hypothetical protein","6","6","1","1","1950","","","","179","626","549","AR465_00240","M48_00662","NRS1_01105","P10_00514","R50_00520","V521_00702"
"clfB","","Clumping factor B","6","6","1","1","2079","","","","2609","2819","2683","AR465_00897","M48_02903","NRS1_00424","P10_02611","R50_02553","V521_02938"
"entS","","hypothetical protein","6","6","1","1","2189","","","","590","1193","1053","AR465_01033","M48_02741","NRS1_00288","P10_02474","R50_02419","V521_02781"
"group_110","","hypothetical protein","6","6","1","1","3663","","","","5951","6560","6458","AR465_01850","M48_01744","NRS1_01595","P10_01716","R50_01741","V521_01795"
"group_114","","hypothetical protein","6","6","1","1","3223","","","","614","986","800","AR465_02663","M48_00991","NRS1_02345","P10_00857","R50_00917","V521_01036"
"sdrC","","Serine-aspartate repeat-containing protein C","6","6","1","1","1911","","","","2453","2861","2749","AR465_00276","M48_00616","NRS1_01069","P10_00469","R50_00478","V521_00654"
"group_133","","Staphylococcal superantigen-like 10","6","6","1","1","4034","","","","473","683","648","AR465_00424","M48_00475","NRS1_00924","P10_00328","R50_00332","V521_00514"
"group_135","","hypothetical protein","6","6","1","1","175","","","","530","974","860","AR465_00460","M48_00407","NRS1_00864","P10_00292","R50_00287","V521_00445"
"group_139","","Oleate hydratase","6","6","1","1","1711","","","","1424","1775","1716","AR465_00717","M48_00082","NRS1_00605","P10_00031","R50_00036","V521_00124"
"group_141","","hypothetical protein","6","6","1","1","1722","","","","1742","3152","2917","AR465_00729","M48_00073","NRS1_00593","P10_00021","R50_00021","V521_00116"
"group_143","","hypothetical protein","6","6","1","1","2544","","","","1907","2318","2249","AR465_00791","M48_00026","NRS1_00531","P10_02721","R50_02662","V521_00025"
"icaC","","putative poly-beta-1,6-N-acetyl-D-glucosamine export protein","6","6","1","1","2472","","","","884","1052","1000","AR465_00858","M48_02944","NRS1_00463","P10_02650","R50_02593","V521_02978"
"isdG_2","","Heme oxygenase (staphylobilin-producing)","6","6","1","1","2101","","","","443","443","443","AR465_00919","M48_02881","NRS1_00402","P10_02589","R50_02531","V521_02916"
"group_147","","putative oxidoreductase","6","6","1","1","2165","","","","452","695","654","AR465_01050","M48_02729","NRS1_00270","P10_02458","R50_02401","V521_02770"
"group_149","","hypothetical protein","6","6","1","1","1005","","","","338","383","375","AR465_01147","M48_02632","NRS1_00172","P10_02359","R50_02304","V521_02671"
"isdH","","Iron-regulated surface determinant protein H","6","6","1","1","3688","","","","509","2687","2321","AR465_01875","M48_01719","NRS1_01622","P10_01691","R50_01716","V521_01770"
"dnaE","","DNA polymerase III subunit alpha","6","6","1","1","3715","","","","2246","3197","3038","AR465_01903","M48_01692","NRS1_01650","P10_01664","R50_01687","V521_01743"
"group_171","","hypothetical protein","6","6","1","1","3327","","","","110","110","110","AR465_02745","M48_01908","NRS1_02429","P10_00768","R50_00835","V521_01959"
"sraP","","Serine-rich adhesin for platelets","6","6","1","1","2455","","","","4511","6815","5638","AR465_00873","M48_02928","NRS1_00448","P10_02635","R50_02577","V521_02962"
